transaction_id,sender_id,receiver_id,tx_type,amount,timestamp,is_fraud,fraud_scenario
TX_6387a2bc,U_86f981,U_a9b4c3,P2P_TRANSFER,14744.09,2026-03-01 15:44:00,0,Normal
TX_b8e37361,U_64df74,A_73f6cf,WITHDRAWAL,5497.15,2026-03-11 04:20:00,0,Normal
TX_63656bc7,U_06db3e,A_efd60f,WITHDRAWAL,12259.11,2026-03-12 05:58:00,0,Normal
TX_f82a643f,U_1c9692,A_834425,WITHDRAWAL,9683.45,2026-03-14 02:58:00,0,Normal
TX_5ceae41d,U_3a6d61,A_cba2eb,PAYMENT,14431.15,2026-03-06 13:58:00,0,Normal
TX_bbef2b39,U_f7e673,U_c6b50c,P2P_TRANSFER,4846.41,2026-03-12 20:22:00,0,Normal
TX_98cc40bc,U_9f665a,A_840587,WITHDRAWAL,12713.81,2026-03-01 18:22:00,0,Normal
TX_8e48c45e,U_11dc90,U_cadd73,P2P_TRANSFER,5607.46,2026-03-05 04:33:00,0,Normal
TX_62273213,U_531d59,U_9f2fc5,P2P_TRANSFER,14856.5,2026-03-11 00:09:00,0,Normal
TX_54066913,U_ae3217,U_682922,P2P_TRANSFER,7723.35,2026-03-11 12:10:00,0,Normal
TX_7dae152a,U_645ed5,U_8c9ee7,P2P_TRANSFER,11265.39,2026-03-10 08:44:00,0,Normal
TX_d380147d,U_d7bcc9,U_935aa6,P2P_TRANSFER,13936.85,2026-03-02 00:03:00,0,Normal
TX_57a4f51e,U_b52e6d,U_cb726f,P2P_TRANSFER,4861.55,2026-03-06 02:36:00,0,Normal
TX_5c17aa83,U_9ead1b,U_7cf699,P2P_TRANSFER,3249.99,2026-03-13 16:39:00,0,Normal
TX_b3b9d9a1,I_FULIZA,U_6b7f28,LOAN_DISBURSEMENT,14996.91,2026-03-13 06:16:00,0,Normal
TX_4efb90ea,U_d9d338,A_290ec0,PAYMENT,5516.89,2026-03-12 07:50:00,0,Normal
TX_bd25be20,U_c92a6b,U_d9a23c,P2P_TRANSFER,5233.26,2026-03-05 15:38:00,0,Normal
TX_f477686c,U_0dbaaa,A_e5d764,PAYMENT,3334.01,2026-03-03 08:11:00,0,Normal
